"CBLS County-level Summary Data for VA, 2009",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,Census 2000 Data,,,"Estimated Population of Children < 6, 2009"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Accomack,999,33.8529312097594%,6,0.600600600600601%,19550,5628,27.0000010728836%,2951
003,Albemarle,701,10.4408698242478%,5,0.713266761768902%,33720,3651,7.00000002980232%,6714
005,Alleghany,100,9.04159132007233%,1,1%,5812,1494,10.0000001490116%,1106
007,Amelia,131,14.6205357142857%,,0%,4609,750,3.99999991059303%,896
009,Amherst,293,14.1545893719807%,,0%,12958,2227,15.0000005960464%,2070
011,Appomattox,170,17.017017017017%,,0%,5828,903,12.9999995231628%,999
013,Arlington,3004,19.1581632653061%,9,0.299600532623169%,90426,28193,7.99999982118607%,15680
015,Augusta,641,12.866318747491%,,0%,26738,5098,7.00000002980232%,4982
017,Bath,44,24.3093922651934%,,0%,2896,1018,7.00000002980232%,181
019,Bedford,341,8.04435008256664%,,0%,26841,2823,7.00000002980232%,4239
021,Bland,63,17.7966101694915%,,0%,3161,734,17.0000001788139%,354
023,Botetourt,332,17.8879310344828%,,0%,12571,2264,2.99999993294477%,1856
025,Brunswick,348,32.7375352775165%,1,0.28735632183908%,7541,1476,15.9999996423721%,1063
027,Buchanan,249,18.3899556868538%,,0%,11887,1739,27.0000010728836%,1354
029,Buckingham,192,19.5320447609359%,,0%,6290,1155,27.0000010728836%,983
031,Campbell,332,9.68777356288299%,2,0.602409638554217%,22088,3068,15.0000005960464%,3427
033,Caroline,365,15.6585156585157%,1,0.273972602739726%,8889,1323,14.0000000596046%,2331
035,Carroll,268,15.0646430578977%,,0%,14680,2562,18.9999997615814%,1779
036,Charles City,57,14.1089108910891%,,0%,2895,445,10.9999999403954%,404
037,Charlotte,180,21.2514757969303%,4,2.22222222222222%,5734,1354,20.0000002980232%,847
041,Chesterfield,3649,14.7184575669571%,3,0.0822143052891203%,97707,3990,5.99999986588955%,24792
043,Clarke,91,10.5813953488372%,2,2.1978021978022%,5388,1483,7.99999982118607%,860
045,Craig,34,12.3636363636364%,,0%,2554,565,10.9999999403954%,275
047,Culpeper,1058,26.0270602706027%,3,0.283553875236295%,12871,2356,10.9999999403954%,4065
049,Cumberland,72,10.5571847507331%,1,1.38888888888889%,4085,643,18.0000007152557%,682
051,Dickenson,89,8.50047755491882%,,0%,7684,1510,25%,1047
053,Dinwiddie,179,10.3051237766264%,2,1.11731843575419%,9707,1316,11.9999997317791%,1737
057,Essex,91,10.8591885441527%,,0%,4926,1067,15.0000005960464%,838
059,Fairfax,11978,13.1242740998839%,30,0.25045917515445%,359411,15488,5.00000007450581%,91266
061,Fauquier,616,11.7467581998474%,4,0.649350649350649%,21046,4200,7.00000002980232%,5244
063,Floyd,71,7.26714431934493%,,0%,6763,1624,11.9999997317791%,977
065,Fluvanna,168,8.42105263157895%,,0%,8018,954,5.99999986588955%,1995
067,Franklin,208,5.95647193585338%,1,0.480769230769231%,22717,2595,12.9999995231628%,3492
069,Frederick,519,8.41985723556132%,1,0.192678227360308%,23319,2635,7.00000002980232%,6164
071,Giles,75,6.65483584738243%,,0%,7732,2262,12.9999995231628%,1127
073,Gloucester,172,6.94388373031893%,,0%,14494,1889,10.9999999403954%,2477
075,Goochland,372,29.1993720565149%,,0%,6555,790,7.00000002980232%,1274
077,Grayson,96,10.9714285714286%,,0%,9123,2102,14.0000000596046%,875
079,Greene,183,11.3664596273292%,,0%,5986,658,5.00000007450581%,1610
081,Greensville,15,1.71821305841924%,,0%,3765,565,17.0000001788139%,873
083,Halifax,245,10.1072607260726%,1,0.408163265306122%,16953,3733,20.9999993443489%,2424
085,Hanover,999,14.3452039058013%,1,0.1001001001001%,32196,2958,2.99999993294477%,6964
087,Henrico,4348,17.9862662364524%,9,0.206991720331187%,112570,10839,10.0000001490116%,24174
089,Henry,233,6.19516086147301%,3,1.28755364806867%,25921,3508,20.9999993443489%,3761
091,Highland,12,13.0434782608696%,,0%,1822,877,23.0000004172325%,92
093,Isle of Wight,316,13.036303630363%,,0%,12066,1670,11.9999997317791%,2424
095,James City,352,9.26559620952882%,2,0.568181818181818%,20772,674,7.00000002980232%,3799
097,King and Queen,53,12.3831775700935%,,0%,3010,631,5.00000007450581%,428
099,King George,274,12.821712681329%,1,0.364963503649635%,6820,841,5.99999986588955%,2137
101,King William,126,9.60365853658537%,1,0.793650793650794%,5189,986,5.00000007450581%,1312
103,Lancaster,112,18.2113821138211%,,0%,6498,1489,17.0000001788139%,615
105,Lee,347,23.0564784053156%,,0%,11086,2722,34.0000003576279%,1505
107,Loudoun,1848,5.61753351369426%,3,0.162337662337662%,62160,4239,1.99999995529652%,32897
109,Louisa,307,12.5459746628525%,2,0.651465798045603%,11855,1859,14.0000000596046%,2447
111,Lunenburg,187,22.1040189125295%,1,0.53475935828877%,5736,1511,30.0000011920929%,846
113,Madison,93,10.1307189542484%,,0%,5239,1273,15.0000005960464%,918
115,Mathews,70,15.695067264574%,1,1.42857142857143%,5333,1663,2.99999993294477%,446
117,Mecklenburg,528,26.4%,3,0.568181818181818%,17403,3328,20.0000002980232%,2000
119,Middlesex,121,23.5867446393762%,,0%,6362,1191,25.9999990463257%,513
121,Montgomery,182,3.46600647495715%,1,0.549450549450549%,32527,3625,17.0000001788139%,5251
125,Nelson,199,20.6645898234683%,2,1.00502512562814%,8554,1631,12.9999995231628%,963
127,New Kent,149,12.7896995708155%,,0%,5203,439,5.00000007450581%,1165
131,Northampton,280,27.4240940254652%,2,0.714285714285714%,6547,2477,37.9999995231628%,1021
133,Northumberland,101,15.6832298136646%,5,4.95049504950495%,8057,1943,20.0000002980232%,644
135,Nottoway,239,22.0276497695853%,7,2.92887029288703%,6373,1925,21.9999998807907%,1085
137,Orange,303,12.2325393621316%,,0%,11354,2090,11.9999997317791%,2477
