"CBLS County-level Summary Data for WI, 2013",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Confirmed Cases,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
,,,,Total #,Total %,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty
001,Adams County,164,8,1,0.600000005215406%,0,14123,1674,15.0000005960464%
003,Ashland County,353,21,3,0.800000037997961%,1,8883,3781,17.0000001788139%
005,Barron County,513,9,3,0.600000005215406%,1,20969,7238,14.0000000596046%
007,Bayfield County,198,4,1,0.499999988824129%,0,11640,3651,20.9999993443489%
009,Brown County,5079,128,7,0.100000004749745%,2,90199,17826,9.00000035762787%
011,Buffalo County,187,14,0,0%,1,6098,2777,10.0000001490116%
013,Burnett County,182,7,0,0%,1,12582,2425,12.9999995231628%
015,Calumet County,208,8,1,0.499999988824129%,0,15758,4060,5.00000007450581%
017,Chippewa County,742,6,3,0.400000018998981%,0,22821,8066,11.9999997317791%
019,Clark County,404,13,2,0.499999988824129%,0,13531,6316,20.0000002980232%
021,Columbia County,672,21,4,0.600000005215406%,0,22685,8510,5.99999986588955%
023,Crawford County,169,5,0,0%,0,8480,2840,12.9999995231628%
025,Dane County,4937,69,8,0.20000000949949%,3,180398,37341,7.99999982118607%
027,Dodge County,958,34,5,0.499999988824129%,0,33672,13814,7.99999982118607%
029,Door County,369,5,0,0%,0,19587,6021,11.9999997317791%
031,Douglas County,744,15,2,0.300000002607703%,1,20356,8985,18.0000007152557%
033,Dunn County,332,9,0,0%,0,15277,5038,14.0000000596046%
035,Eau Claire Coun,1569,24,2,0.100000004749745%,1,37474,10758,11.9999997317791%
037,Florence County,34,.,0,0%,0,4239,1093,12.9999995231628%
039,Fond du Lac Cou,1214,60,9,0.700000021606684%,0,39271,14645,7.00000002980232%
041,Forest County,132,3,0,0%,0,8322,2306,18.9999997615814%
043,Grant County,580,91,4,0.700000021606684%,2,19940,8150,14.0000000596046%
045,Green County,442,29,2,0.499999988824129%,0,13878,5826,5.00000007450581%
047,Green Lake Coun,260,12,1,0.400000018998981%,0,9831,3886,11.9999997317791%
049,Iowa County,193,4,0,0%,2,9579,4240,5.99999986588955%
051,Iron County,71,5,0,0%,0,5706,2209,18.0000007152557%
