"CBLS County-level Summary Data for WI, 2014",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Total Confirmed BLL ?10 µg/dL,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
,,,,Total #,Total %,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty
001,Adams County,162,2,0,0%,0,14123,1674,15.0000005960464%
003,Ashland County,335,13,1,0.300000002607703%,1,8883,3781,17.0000001788139%
005,Barron County,439,9,1,0.20000000949949%,0,20969,7238,14.0000000596046%
007,Bayfield County,196,3,1,0.499999988824129%,0,11640,3651,20.9999993443489%
009,Brown County,4295,52,8,0.20000000949949%,1,90199,17826,9.00000035762787%
011,Buffalo County,178,13,1,0.600000005215406%,1,6098,2777,10.0000001490116%
013,Burnett County,133,3,0,0%,0,12582,2425,12.9999995231628%
015,Calumet County,209,5,1,0.499999988824129%,0,15758,4060,5.00000007450581%
017,Chippewa County,689,16,3,0.400000018998981%,0,22821,8066,11.9999997317791%
019,Clark County,329,12,1,0.300000002607703%,0,13531,6316,20.0000002980232%
021,Columbia County,694,23,5,0.700000021606684%,2,22685,8510,5.99999986588955%
023,Crawford County,143,1,1,0.700000021606684%,0,8480,2840,12.9999995231628%
025,Dane County,5188,66,14,0.300000002607703%,3,180398,37341,7.99999982118607%
027,Dodge County,1020,43,7,0.700000021606684%,0,33672,13814,7.99999982118607%
029,Door County,336,3,2,0.600000005215406%,0,19587,6021,11.9999997317791%
031,Douglas County,703,15,2,0.300000002607703%,0,20356,8985,18.0000007152557%
033,Dunn County,307,4,1,0.300000002607703%,0,15277,5038,14.0000000596046%
035,Eau Claire Coun,1376,14,6,0.400000018998981%,0,37474,10758,11.9999997317791%
037,Florence County,24,1,0,0%,0,4239,1093,12.9999995231628%
039,Fond du Lac Cou,1393,58,10,0.700000021606684%,0,39271,14645,7.00000002980232%
041,Forest County,114,1,0,0%,0,8322,2306,18.9999997615814%
043,Grant County,435,36,5,1.09999999403954%,2,19940,8150,14.0000000596046%
045,Green County,401,15,4,0.999999977648258%,1,13878,5826,5.00000007450581%
047,Green Lake Coun,246,9,4,1.60000007599592%,0,9831,3886,11.9999997317791%
049,Iowa County,159,1,1,0.600000005215406%,1,9579,4240,5.99999986588955%
051,Iron County,69,2,0,0%,0,5706,2209,18.0000007152557%
053,Jackson County,220,7,2,0.899999961256981%,0,8029,3005,12.9999995231628%
055,Jefferson Count,1249,72,8,0.600000005215406%,0,30092,11137,7.00000002980232%
057,Juneau County,388,14,0,0%,1,12370,3582,15.9999996423721%
059,Kenosha County,2353,96,18,0.800000037997961%,3,59989,17987,10.0000001490116%
061,Kewaunee County,195,1,1,0.499999988824129%,0,8221,3416,5.99999986588955%
063,La Crosse Count,1373,30,2,0.100000004749745%,4,43479,12686,10.9999999403954%
065,Lafayette Count,164,11,1,0.600000005215406%,0,6674,3509,11.9999997317791%
067,Langlade County,204,2,0,0%,0,11187,4223,15.0000005960464%
069,Lincoln County,378,6,0,0%,0,14681,5207,9.00000035762787%
071,Manitowoc Count,1032,43,9,0.899999961256981%,3,34651,14648,7.99999982118607%
073,Marathon County,1472,30,6,0.400000018998981%,0,50360,15620,9.00000035762787%
075,Marinette Count,474,10,1,0.20000000949949%,0,26260,7693,11.9999997317791%
077,Marquette Count,190,3,1,0.499999988824129%,1,8664,2361,7.99999982118607%
078,Menominee Count,155,2,1,0.600000005215406%,0,2098,172,37.0000004768372%
079,Milwaukee Count,32173,2488,442,1.40000004321337%,185,400093,163688,25.9999990463257%
081,Monroe County,695,28,0,0%,0,16672,5673,20.9999993443489%
083,Oconto County,376,11,2,0.499999988824129%,0,19812,5701,10.0000001490116%
085,Oneida County,339,4,0,0%,0,26627,5953,10.9999999403954%
087,Outagamie Count,1566,33,5,0.300000002607703%,1,62614,16579,5.99999986588955%
089,Ozaukee County,757,13,2,0.300000002607703%,0,32034,5891,1.99999995529652%
091,Pepin County,91,3,0,0%,0,3036,1340,17.0000001788139%
093,Pierce County,410,8,0,0%,0,13493,4269,5.99999986588955%
095,Polk County,414,5,1,0.20000000949949%,0,21129,5726,9.00000035762787%
097,Portage County,857,13,2,0.20000000949949%,0,26589,6705,10.0000001490116%
099,Price County,151,.,0,0%,0,9574,3399,15.9999996423721%
101,Racine County,3791,170,32,0.800000037997961%,8,74718,24355,12.9999995231628%
103,Richland County,175,6,2,1.09999999403954%,0,8164,3724,18.9999997615814%
105,Rock County,2357,133,17,0.700000021606684%,3,62187,20779,10.9999999403954%
107,Rusk County,164,5,0,0%,0,7609,2805,15.0000005960464%
109,St. Croix Count,659,26,0,0%,0,24265,5534,3.99999991059303%
111,Sauk County,723,11,1,0.100000004749745%,0,24297,8084,10.9999999403954%
113,Sawyer County,198,1,0,0%,0,13722,2881,15.9999996423721%
115,Shawano County,409,8,1,0.20000000949949%,0,18317,6835,12.9999995231628%
117,Sheboygan Count,1220,74,11,0.899999961256981%,4,45947,19006,7.99999982118607%
119,Taylor County,169,3,2,1.20000001043081%,1,8595,3214,15.0000005960464%
121,Trempealeau Cou,493,16,3,0.600000005215406%,2,11482,4609,10.9999999403954%
123,Vernon County,322,9,0,0%,0,12416,5273,25%
125,Vilas County,301,2,0,0%,0,22397,4390,14.0000000596046%
127,Walworth County,1262,39,1,0.100000004749745%,0,43783,13306,10.0000001490116%
129,Washburn County,155,4,0,0%,0,10814,2942,15.9999996423721%
131,Washington Coun,754,17,0,0%,2,45808,8944,5.00000007450581%
133,Waukesha County,4334,69,9,0.20000000949949%,5,140309,20094,2.99999993294477%
135,Waupaca County,413,16,5,1.20000001043081%,0,22508,8555,10.0000001490116%
137,Waushara County,302,8,0,0%,1,13667,3840,12.9999995231628%
139,Winnebago Count,1503,64,9,0.600000005215406%,1,64721,20011,9.00000035762787%
141,Wood County,1033,16,0,0%,0,31691,9251,10.0000001490116%
*# of Addresses where address state not in selected state: 4,# of Addresses where program state is not in selected state: 1,,,,,,,,
,,,,,,,,,
"* Based on most recent five years of data, 2010-2014",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
