"CBLS County-level Summary Data for WI, 2005",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2005"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Adams County,146,13.3699633699634%,2,0,14123,1674,15.0000005960464%,1092
003,Ashland County,305,23.4795996920708%,0,1,8883,3781,17.0000001788139%,1299
005,Barron County,390,12.7826941986234%,1,2,20969,7238,14.0000000596046%,3051
007,Bayfield County,185,19.5353748680042%,1,1,11640,3651,20.9999993443489%,947
009,Brown County,4275,22.653807429389%,42,11,90199,17826,9.00000035762787%,18871
011,Buffalo County,183,18.6544342507645%,2,0,6098,2777,10.0000001490116%,981
013,Burnett County,170,17.9514255543823%,3,0,12582,2425,12.9999995231628%,947
015,Calumet County,175,5.12295081967213%,1,1,15758,4060,5.00000007450581%,3416
017,Chippewa County,737,17.9362375273789%,5,3,22821,8066,11.9999997317791%,4109
019,Clark County,347,11.5167607036177%,2,0,13531,6316,20.0000002980232%,3013
021,Columbia County,593,15.0622301244603%,6,5,22685,8510,5.99999986588955%,3937
023,Crawford County,221,18.0851063829787%,1,0,8480,2840,12.9999995231628%,1222
025,Dane County,3298,10.7844740198162%,22,4,180398,37341,7.99999982118607%,30581
027,Dodge County,795,12.7281460134486%,5,2,33672,13814,7.99999982118607%,6246
029,Door County,328,20.1722017220172%,2,0,19587,6021,11.9999997317791%,1626
031,Douglas County,596,19.6440342781806%,5,2,20356,8985,18.0000007152557%,3034
033,Dunn County,442,15.956678700361%,4,1,15277,5038,14.0000000596046%,2770
035,Eau Claire County,1389,20.9060806742926%,10,5,37474,10758,11.9999997317791%,6644
037,Florence County,44,13.75%,0,0,4239,1093,12.9999995231628%,320
039,Fond du Lac County,1121,15.9618396696568%,17,5,39271,14645,7.00000002980232%,7023
041,Forest County,186,26.9565217391304%,1,0,8322,2306,18.9999997615814%,690
043,Grant County,608,19.0595611285266%,12,3,19940,8150,14.0000000596046%,3190
045,Green County,368,14.0996168582375%,7,1,13878,5826,5.00000007450581%,2610
047,Green Lake County,310,23.7184391736802%,4,1,9831,3886,11.9999997317791%,1307
049,Iowa County,205,11.9533527696793%,2,0,9579,4240,5.99999986588955%,1715
051,Iron County,76,23.75%,1,0,5706,2209,18.0000007152557%,320
053,Jackson County,343,27.1146245059289%,3,1,8029,3005,12.9999995231628%,1265
055,Jefferson County,1080,19.1557289819085%,8,5,30092,11137,7.00000002980232%,5638
057,Juneau County,439,25.7025761124122%,4,1,12370,3582,15.9999996423721%,1708
059,Kenosha County,1820,14.8777895855473%,33,18,59989,17987,10.0000001490116%,12233
061,Kewaunee County,217,15.3248587570621%,2,0,8221,3416,5.99999986588955%,1416
063,La Crosse County,1264,16.022309544936%,8,5,43479,12686,10.9999999403954%,7889
065,Lafayette County,192,16.382252559727%,3,0,6674,3509,11.9999997317791%,1172
067,Langlade County,240,17.4799708667152%,3,0,11187,4223,15.0000005960464%,1373
069,Lincoln County,357,17.5343811394892%,1,0,14681,5207,9.00000035762787%,2036
071,Manitowoc County,1098,18.6133242922529%,26,8,34651,14648,7.99999982118607%,5899
073,Marathon County,1495,14.9380495603517%,26,9,50360,15620,9.00000035762787%,10008
075,Marinette County,629,22.6258992805755%,4,3,26260,7693,11.9999997317791%,2780
077,Marquette County,225,25.3950338600451%,2,0,8664,2361,7.99999982118607%,886
078,Menominee County,188,36.084452975048%,1,1,2098,172,37.0000004768372%,521
079,Milwaukee County,27336,33.8971281186449%,1562,1079,400093,163688,25.9999990463257%,80644
081,Monroe County,795,23.3754778006469%,8,3,16672,5673,20.9999993443489%,3401
083,Oconto County,295,11.785856971634%,1,0,19812,5701,10.0000001490116%,2503
085,Oneida County,383,18.0150517403575%,2,0,26627,5953,10.9999999403954%,2126
087,Outagamie County,2017,14.7787221570926%,12,1,62614,16579,5.99999986588955%,13648
089,Ozaukee County,507,7.97420572507078%,4,1,32034,5891,1.99999995529652%,6358
091,Pepin County,89,16.6355140186916%,0,0,3036,1340,17.0000001788139%,535
093,Pierce County,318,12.3687281213536%,4,2,13493,4269,5.99999986588955%,2571
095,Polk County,396,13.5430916552668%,3,1,21129,5726,9.00000035762787%,2924
097,Portage County,914,19.2016806722689%,2,0,26589,6705,10.0000001490116%,4760
099,Price County,194,20.8826695371367%,1,0,9574,3399,15.9999996423721%,929
101,Racine County,4690,29.5228503084477%,127,77,74718,24355,12.9999995231628%,15886
103,Richland County,222,17.6892430278884%,7,2,8164,3724,18.9999997615814%,1255
105,Rock County,2242,17.7978883861237%,62,22,62187,20779,10.9999999403954%,12597
107,Rusk County,192,18.568665377176%,0,0,7609,2805,15.0000005960464%,1034
109,St. Croix County,370,6.92365269461078%,1,0,24265,5534,3.99999991059303%,5344
111,Sauk County,714,16.5277777777778%,9,6,24297,8084,10.9999999403954%,4320
113,Sawyer County,328,31.0900473933649%,0,0,13722,2881,15.9999996423721%,1055
115,Shawano County,482,15.8970976253298%,3,0,18317,6835,12.9999995231628%,3032
117,Sheboygan County,1666,19.1384261918438%,50,20,45947,19006,7.99999982118607%,8705
119,Taylor County,246,17.9431072210066%,3,0,8595,3214,15.0000005960464%,1371
121,Trempealeau County,566,27.923038973853%,2,0,11482,4609,10.9999999403954%,2027
123,Vernon County,299,13.4624043223773%,1,0,12416,5273,25%,2221
125,Vilas County,230,20.7020702070207%,1,0,22397,4390,14.0000000596046%,1111
127,Walworth County,1199,18.0165289256198%,9,7,43783,13306,10.0000001490116%,6655
129,Washburn County,267,26.8072289156626%,1,0,10814,2942,15.9999996423721%,996
131,Washington County,711,7.32914132563653%,4,2,45808,8944,5.00000007450581%,9701
133,Waukesha County,3728,13.1489841986456%,18,3,140309,20094,2.99999993294477%,28352
135,Waupaca County,627,16.8457818377217%,2,1,22508,8555,10.0000001490116%,3722
137,Waushara County,365,25.085910652921%,2,1,13667,3840,12.9999995231628%,1455
139,Winnebago County,1258,11.1032656663725%,25,10,64721,20011,9.00000035762787%,11330
141,Wood County,1015,18.031621957719%,9,3,31691,9251,10.0000001490116%,5629
"* Based on most recent five years of data, 2001-2005",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
Wisconsin Total Confirmed Cases 2005,,2218,,,,,,,
