"CBLS County-level Summary Data for WI, 2006",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,Case Rate (# Confirmed / #Tested),# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2006"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Adams County,153,15.0999993085861%,2,1.30718954248366%,0,14123,1674,15.0000005960464%,1014
003,Ashland County,238,19.9000000953674%,1,0.420168067226891%,0,8883,3781,17.0000001788139%,1198
005,Barron County,402,12.8999993205071%,0,0%,2,20969,7238,14.0000000596046%,3106
007,Bayfield County,184,21.6000005602837%,1,0.543478260869565%,0,11640,3651,20.9999993443489%,852
009,Brown County,4089,20.9999993443489%,30,0.733675715333822%,15,90199,17826,9.00000035762787%,19477
011,Buffalo County,187,20.100000500679%,0,0%,0,6098,2777,10.0000001490116%,932
013,Burnett County,174,18.6000004410744%,1,0.574712643678161%,0,12582,2425,12.9999995231628%,937
015,Calumet County,170,4.39999997615814%,0,0%,1,15758,4060,5.00000007450581%,3855
017,Chippewa County,725,17.1000003814697%,5,0.689655172413793%,4,22821,8066,11.9999997317791%,4241
019,Clark County,408,12.8000006079674%,7,1.7156862745098%,1,13531,6316,20.0000002980232%,3192
021,Columbia County,535,13.8999998569489%,13,2.42990654205607%,5,22685,8510,5.99999986588955%,3861
023,Crawford County,235,20.7000002264976%,1,0.425531914893617%,0,8480,2840,12.9999995231628%,1135
025,Dane County,3457,9.89999994635582%,15,0.433902227364767%,4,180398,37341,7.99999982118607%,34764
027,Dodge County,793,13.400000333786%,9,1.13493064312736%,1,33672,13814,7.99999982118607%,5907
029,Door County,305,20.6000000238419%,0,0%,0,19587,6021,11.9999997317791%,1477
031,Douglas County,682,22.9000002145767%,7,1.02639296187683%,3,20356,8985,18.0000007152557%,2972
033,Dunn County,441,15.8000007271767%,1,0.226757369614512%,1,15277,5038,14.0000000596046%,2792
035,Eau Claire County,1470,22.2000002861023%,4,0.272108843537415%,2,37474,10758,11.9999997317791%,6631
037,Florence County,36,16.5000006556511%,0,0%,0,4239,1093,12.9999995231628%,218
039,Fond du Lac County,1040,15.0999993085861%,13,1.25%,4,39271,14645,7.00000002980232%,6873
041,Forest County,168,25.2999991178513%,0,0%,0,8322,2306,18.9999997615814%,663
043,Grant County,632,18.6000004410744%,6,0.949367088607595%,3,19940,8150,14.0000000596046%,3401
045,Green County,409,16.5999993681908%,3,0.733496332518337%,1,13878,5826,5.00000007450581%,2462
047,Green Lake County,277,20.3999996185303%,3,1.08303249097473%,2,9831,3886,11.9999997317791%,1361
049,Iowa County,228,12.3999997973442%,2,0.87719298245614%,0,9579,4240,5.99999986588955%,1846
051,Iron County,77,31.0000002384186%,0,0%,0,5706,2209,18.0000007152557%,248
053,Jackson County,304,21.9999998807907%,2,0.657894736842105%,1,8029,3005,12.9999995231628%,1381
055,Jefferson County,1090,18.299999833107%,7,0.642201834862385%,5,30092,11137,7.00000002980232%,5958
057,Juneau County,449,25.4000008106232%,1,0.22271714922049%,0,12370,3582,15.9999996423721%,1766
059,Kenosha County,2022,15.5000001192093%,26,1.28585558852621%,9,59989,17987,10.0000001490116%,13026
061,Kewaunee County,174,12.0999999344349%,0,0%,0,8221,3416,5.99999986588955%,1443
063,La Crosse County,1298,17.2000005841255%,9,0.693374422187982%,4,43479,12686,10.9999999403954%,7549
065,Lafayette County,191,15.6000003218651%,2,1.04712041884817%,1,6674,3509,11.9999997317791%,1221
067,Langlade County,252,19.200000166893%,2,0.793650793650794%,0,11187,4223,15.0000005960464%,1314
069,Lincoln County,369,19.5999994874001%,3,0.813008130081301%,0,14681,5207,9.00000035762787%,1882
071,Manitowoc County,1072,20.100000500679%,22,2.05223880597015%,3,34651,14648,7.99999982118607%,5326
073,Marathon County,1516,16.2000000476837%,17,1.12137203166227%,7,50360,15620,9.00000035762787%,9335
075,Marinette County,649,25.6000012159348%,6,0.924499229583975%,4,26260,7693,11.9999997317791%,2533
077,Marquette County,233,24.6000006794929%,0,0%,0,8664,2361,7.99999982118607%,948
078,Menominee County,206,38.1000012159348%,2,0.970873786407767%,0,2098,172,37.0000004768372%,541
079,Milwaukee County,26343,31.0999989509583%,1091,4.14151767072847%,935,400093,163688,25.9999990463257%,84789
081,Monroe County,838,23.6000001430511%,4,0.477326968973747%,2,16672,5673,20.9999993443489%,3550
083,Oconto County,309,12.8999993205071%,1,0.323624595469256%,0,19812,5701,10.0000001490116%,2388
085,Oneida County,328,16.6999995708466%,1,0.304878048780488%,0,26627,5953,10.9999999403954%,1964
087,Outagamie County,1996,14.4999995827675%,10,0.501002004008016%,0,62614,16579,5.99999986588955%,13773
089,Ozaukee County,510,9.20000001788139%,1,0.196078431372549%,1,32034,5891,1.99999995529652%,5554
091,Pepin County,125,24.6000006794929%,0,0%,0,3036,1340,17.0000001788139%,509
093,Pierce County,371,13.6999994516373%,0,0%,1,13493,4269,5.99999986588955%,2706
095,Polk County,323,10.700000077486%,3,0.928792569659443%,1,21129,5726,9.00000035762787%,3006
097,Portage County,931,21.0999995470047%,1,0.107411385606874%,0,26589,6705,10.0000001490116%,4405
099,Price County,166,20.3999996185303%,1,0.602409638554217%,0,9574,3399,15.9999996423721%,815
101,Racine County,4952,32.3000013828278%,89,1.79725363489499%,60,74718,24355,12.9999995231628%,15319
103,Richland County,205,15.9999996423721%,2,0.975609756097561%,2,8164,3724,18.9999997615814%,1281
105,Rock County,2141,17.399999499321%,44,2.05511443250817%,18,62187,20779,10.9999999403954%,12271
107,Rusk County,228,23.8000005483627%,1,0.43859649122807%,0,7609,2805,15.0000005960464%,958
109,St. Croix County,471,7.10000023245811%,3,0.636942675159236%,0,24265,5534,3.99999991059303%,6616
111,Sauk County,761,17.1000003814697%,12,1.57687253613666%,5,24297,8084,10.9999999403954%,4438
113,Sawyer County,295,27.5000005960464%,0,0%,0,13722,2881,15.9999996423721%,1072
115,Shawano County,578,20.2000007033348%,1,0.173010380622837%,0,18317,6835,12.9999995231628%,2863
117,Sheboygan County,1726,20.8000004291534%,46,2.66512166859791%,16,45947,19006,7.99999982118607%,8316
119,Taylor County,233,16.3000002503395%,1,0.429184549356223%,0,8595,3214,15.0000005960464%,1428
121,Trempealeau County,551,26.8999993801117%,2,0.362976406533575%,0,11482,4609,10.9999999403954%,2045
123,Vernon County,515,21.0999995470047%,3,0.58252427184466%,1,12416,5273,25%,2442
125,Vilas County,273,23.4999999403954%,0,0%,0,22397,4390,14.0000000596046%,1164
127,Walworth County,1127,15.8999994397163%,7,0.62111801242236%,6,43783,13306,10.0000001490116%,7085
129,Washburn County,272,26.8999993801117%,2,0.735294117647059%,0,10814,2942,15.9999996423721%,1011
131,Washington County,676,7.50000029802322%,4,0.591715976331361%,1,45808,8944,5.00000007450581%,9037
133,Waukesha County,3771,14.2000004649162%,19,0.503845133916733%,3,140309,20094,2.99999993294477%,26543
135,Waupaca County,522,15.0000005960464%,2,0.383141762452107%,1,22508,8555,10.0000001490116%,3469
137,Waushara County,341,22.9000002145767%,2,0.586510263929619%,1,13667,3840,12.9999995231628%,1490
139,Winnebago County,1415,12.8999993205071%,20,1.41342756183746%,10,64721,20011,9.00000035762787%,11002
141,Wood County,1035,20.2000007033348%,4,0.386473429951691%,3,31691,9251,10.0000001490116%,5113
999,Unknown,,,,,,,,,
,,,,,,,,,,
"* Based on most recent five years of data, 2002-2006",,,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,,
Wisconsin Total Confirmed Cases 2006,,1600,,,,,,,,
