"CBLS County-level Summary Data for WI, 2007",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2007"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Adams County,186,18.0999994277954%,1,0.537634408602151%,0,14123,1674,15.0000005960464%,1027
003,Ashland County,269,22.6999998092651%,2,0.743494423791822%,0,8883,3781,17.0000001788139%,1183
005,Barron County,487,15.3999999165535%,0,0%,2,20969,7238,14.0000000596046%,3164
007,Bayfield County,218,26.4999985694885%,0,0%,0,11640,3651,20.9999993443489%,823
009,Brown County,4583,22.6999998092651%,23,0.501854680340388%,10,90199,17826,9.00000035762787%,20158
011,Buffalo County,199,21.7999994754791%,1,0.50251256281407%,0,6098,2777,10.0000001490116%,913
013,Burnett County,240,25.6000012159348%,0,0%,0,12582,2425,12.9999995231628%,939
015,Calumet County,225,5.79999983310699%,1,0.444444444444444%,0,15758,4060,5.00000007450581%,3879
017,Chippewa County,878,19.6999996900558%,4,0.455580865603645%,4,22821,8066,11.9999997317791%,4466
019,Clark County,397,12.3000003397465%,1,0.251889168765743%,1,13531,6316,20.0000002980232%,3222
021,Columbia County,667,16.6999995708466%,5,0.749625187406297%,3,22685,8510,5.99999986588955%,4004
023,Crawford County,221,18.8999995589256%,2,0.904977375565611%,0,8480,2840,12.9999995231628%,1169
025,Dane County,4159,11.4000000059605%,12,0.288530896850204%,2,180398,37341,7.99999982118607%,36325
027,Dodge County,792,13.6000007390976%,10,1.26262626262626%,1,33672,13814,7.99999982118607%,5820
029,Door County,363,24.3000000715256%,0,0%,0,19587,6021,11.9999997317791%,1492
031,Douglas County,766,25.900000333786%,7,0.913838120104439%,2,20356,8985,18.0000007152557%,2959
033,Dunn County,520,17.7000001072884%,0,0%,1,15277,5038,14.0000000596046%,2932
035,Eau Claire County,1691,24.4000002741814%,12,0.709639266706091%,2,37474,10758,11.9999997317791%,6929
037,Florence County,41,19.0999999642372%,0,0%,0,4239,1093,12.9999995231628%,215
039,Fond du Lac County,1046,14.6999999880791%,17,1.62523900573614%,0,39271,14645,7.00000002980232%,7102
041,Forest County,171,25.9999990463257%,0,0%,0,8322,2306,18.9999997615814%,657
043,Grant County,741,21.8999996781349%,6,0.809716599190283%,3,19940,8150,14.0000000596046%,3385
045,Green County,417,15.9999996423721%,3,0.719424460431655%,1,13878,5826,5.00000007450581%,2600
047,Green Lake County,330,24.7999995946884%,5,1.51515151515152%,2,9831,3886,11.9999997317791%,1332
049,Iowa County,197,10.4999996721745%,2,1.01522842639594%,0,9579,4240,5.99999986588955%,1868
051,Iron County,83,33.500000834465%,0,0%,0,5706,2209,18.0000007152557%,248
053,Jackson County,361,25.0999987125397%,4,1.10803324099723%,1,8029,3005,12.9999995231628%,1438
055,Jefferson County,1183,19.3000003695488%,17,1.43702451394759%,4,30092,11137,7.00000002980232%,6133
057,Juneau County,545,31.0999989509583%,5,0.91743119266055%,1,12370,3582,15.9999996423721%,1753
059,Kenosha County,2630,19.4999992847443%,28,1.06463878326996%,10,59989,17987,10.0000001490116%,13468
061,Kewaunee County,201,14.2000004649162%,0,0%,0,8221,3416,5.99999986588955%,1415
063,La Crosse County,1594,20.3999996185303%,11,0.6900878293601%,3,43479,12686,10.9999999403954%,7810
065,Lafayette County,161,13.6000007390976%,2,1.24223602484472%,2,6674,3509,11.9999997317791%,1181
067,Langlade County,263,20.2999994158745%,3,1.14068441064639%,0,11187,4223,15.0000005960464%,1295
069,Lincoln County,434,23.2999995350838%,4,0.921658986175115%,0,14681,5207,9.00000035762787%,1863
071,Manitowoc County,1126,21.2999999523163%,27,2.39786856127886%,6,34651,14648,7.99999982118607%,5275
073,Marathon County,1742,18.0000007152557%,17,0.975889781859931%,4,50360,15620,9.00000035762787%,9657
075,Marinette County,653,24.8999997973442%,3,0.459418070444104%,4,26260,7693,11.9999997317791%,2623
077,Marquette County,216,21.9999998807907%,0,0%,0,8664,2361,7.99999982118607%,983
078,Menominee County,202,35.1000010967255%,1,0.495049504950495%,0,2098,172,37.0000004768372%,575
079,Milwaukee County,29686,34.0999990701675%,1050,3.53702081789396%,727,400093,163688,25.9999990463257%,86965
081,Monroe County,945,25.4999995231628%,2,0.211640211640212%,1,16672,5673,20.9999993443489%,3708
083,Oconto County,348,14.4999995827675%,1,0.28735632183908%,0,19812,5701,10.0000001490116%,2395
085,Oneida County,439,22.4999994039536%,2,0.455580865603645%,0,26627,5953,10.9999999403954%,1949
087,Outagamie County,2235,15.9999996423721%,8,0.357941834451902%,0,62614,16579,5.99999986588955%,13986
089,Ozaukee County,640,11.6999998688698%,1,0.15625%,0,32034,5891,1.99999995529652%,5451
091,Pepin County,126,24.099999666214%,0,0%,0,3036,1340,17.0000001788139%,523
093,Pierce County,563,20.100000500679%,2,0.355239786856128%,1,13493,4269,5.99999986588955%,2796
095,Polk County,470,15.0999993085861%,0,0%,1,21129,5726,9.00000035762787%,3111
097,Portage County,1100,24.3000000715256%,1,0.0909090909090909%,0,26589,6705,10.0000001490116%,4531
099,Price County,198,26.1999994516373%,1,0.505050505050505%,0,9574,3399,15.9999996423721%,757
101,Racine County,5519,34.9999994039536%,99,1.79380322522196%,51,74718,24355,12.9999995231628%,15785
103,Richland County,215,16.4000004529953%,2,0.930232558139535%,2,8164,3724,18.9999997615814%,1310
105,Rock County,2357,18.6000004410744%,50,2.12134068731438%,14,62187,20779,10.9999999403954%,12700
107,Rusk County,202,21.2999999523163%,1,0.495049504950495%,0,7609,2805,15.0000005960464%,950
109,St. Croix County,754,10.4999996721745%,2,0.26525198938992%,0,24265,5534,3.99999991059303%,7198
111,Sauk County,720,15.6000003218651%,8,1.11111111111111%,4,24297,8084,10.9999999403954%,4610
113,Sawyer County,330,28.2000005245209%,1,0.303030303030303%,0,13722,2881,15.9999996423721%,1172
115,Shawano County,608,20.7000002264976%,2,0.328947368421053%,0,18317,6835,12.9999995231628%,2941
117,Sheboygan County,1878,22.1000000834465%,47,2.50266240681576%,13,45947,19006,7.99999982118607%,8484
119,Taylor County,220,15.8000007271767%,0,0%,0,8595,3214,15.0000005960464%,1391
121,Trempealeau County,570,27.5999993085861%,6,1.05263157894737%,0,11482,4609,10.9999999403954%,2067
123,Vernon County,550,22.2000002861023%,4,0.727272727272727%,1,12416,5273,25%,2477
125,Vilas County,322,27.9000014066696%,0,0%,0,22397,4390,14.0000000596046%,1154
127,Walworth County,1301,17.5999999046326%,7,0.5380476556495%,5,43783,13306,10.0000001490116%,7382
129,Washburn County,320,29.4999986886978%,1,0.3125%,0,10814,2942,15.9999996423721%,1083
131,Washington County,871,9.30000022053719%,1,0.114810562571757%,1,45808,8944,5.00000007450581%,9414
133,Waukesha County,4192,15.9999996423721%,20,0.477099236641221%,2,140309,20094,2.99999993294477%,26272
135,Waupaca County,606,17.4999997019768%,0,0%,1,22508,8555,10.0000001490116%,3453
137,Waushara County,338,22.2000002861023%,1,0.29585798816568%,1,13667,3840,12.9999995231628%,1522
139,Winnebago County,1648,14.6999999880791%,23,1.39563106796117%,10,64721,20011,9.00000035762787%,11210
141,Wood County,1059,20.8000004291534%,3,0.28328611898017%,3,31691,9251,10.0000001490116%,5095
999,Unknown,n,,n,#VALUE!,n,,,,
,,,,,,,,,,
"* Based on most recent five years of data, 2003-2007",,,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,,
,,,,,,,,,,
,Wisconsin 2007 Confirmed Cases,,1582,,,,,,,
