"CBLS County-level Summary Data for WI, 2009",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,Census 2000 Data,,,"Estimated Population of Children < 6, 2009"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Adams,230,23.3739837398374%,,0%,14123,1674,15.0000005960464%,984
003,Ashland,432,35.4388843314192%,3,0.694444444444444%,8883,3781,17.0000001788139%,1219
005,Barron,587,18.0559827745309%,2,0.340715502555366%,20969,7238,14.0000000596046%,3251
007,Bayfield,263,33.7612323491656%,1,0.380228136882129%,11640,3651,20.9999993443489%,779
009,Brown,4942,24.2219281478214%,13,0.263051396195872%,90199,17826,9.00000035762787%,20403
011,Buffalo,221,25.0851305334847%,,0%,6098,2777,10.0000001490116%,881
013,Burnett,293,32.6280623608018%,3,1.02389078498294%,12582,2425,12.9999995231628%,898
015,Calumet,200,4.96401092082403%,2,1%,15758,4060,5.00000007450581%,4029
017,Chippewa,950,20.1827066071808%,3,0.31578947368421%,22821,8066,11.9999997317791%,4707
019,Clark,437,12.8227699530516%,1,0.22883295194508%,13531,6316,20.0000002980232%,3408
021,Columbia,850,20.879390813068%,2,0.235294117647059%,22685,8510,5.99999986588955%,4071
023,Crawford,257,22.0600858369099%,1,0.389105058365759%,8480,2840,12.9999995231628%,1165
025,Dane,5098,13.8781510317417%,16,0.313848568065908%,180398,37341,7.99999982118607%,36734
027,Dodge,1038,17.4571140262361%,2,0.192678227360308%,33672,13814,7.99999982118607%,5946
029,Door,413,26.7833981841764%,,0%,19587,6021,11.9999997317791%,1542
031,Douglas,921,31.1253801960122%,1,0.1085776330076%,20356,8985,18.0000007152557%,2959
033,Dunn,484,16.7358229598893%,,0%,15277,5038,14.0000000596046%,2892
035,Eau Claire,1667,23.4227905016158%,4,0.23995200959808%,37474,10758,11.9999997317791%,7117
037,Florence,25,11.5207373271889%,,0%,4239,1093,12.9999995231628%,217
039,Fond du Lac,1271,17.5044759674976%,4,0.3147128245476%,39271,14645,7.00000002980232%,7261
041,Forest,131,20.5651491365777%,,0%,8322,2306,18.9999997615814%,637
043,Grant,824,23.4423897581792%,3,0.364077669902913%,19940,8150,14.0000000596046%,3515
045,Green,476,17.3469387755102%,4,0.840336134453782%,13878,5826,5.00000007450581%,2744
047,Green Lake,288,21.2860310421286%,2,0.694444444444444%,9831,3886,11.9999997317791%,1353
049,Iowa,276,14.5110410094637%,1,0.36231884057971%,9579,4240,5.99999986588955%,1902
051,Iron,93,37.9591836734694%,,0%,5706,2209,18.0000007152557%,245
053,Jackson,326,22.3747426218257%,4,1.22699386503067%,8029,3005,12.9999995231628%,1457
055,Jefferson,1117,17.758346581876%,4,0.35810205908684%,30092,11137,7.00000002980232%,6290
057,Juneau,602,33.8202247191011%,3,0.498338870431894%,12370,3582,15.9999996423721%,1780
059,Kenosha,2623,19.4051934600873%,13,0.49561570720549%,59989,17987,10.0000001490116%,13517
061,Kewaunee,231,16.40625%,,0%,8221,3416,5.99999986588955%,1408
063,La Crosse,1744,21.9453881968038%,3,0.172018348623853%,43479,12686,10.9999999403954%,7947
065,Lafayette,176,13.6858475894246%,,0%,6674,3509,11.9999997317791%,1286
067,Langlade,284,22.0496894409938%,1,0.352112676056338%,11187,4223,15.0000005960464%,1288
069,Lincoln,424,22.7589908749329%,3,0.707547169811321%,14681,5207,9.00000035762787%,1863
071,Manitowoc,1286,23.432944606414%,9,0.699844479004666%,34651,14648,7.99999982118607%,5488
073,Marathon,1847,17.8765001935734%,9,0.487276664861938%,50360,15620,9.00000035762787%,10332
075,Marinette,690,26.1462675255779%,1,0.144927536231884%,26260,7693,11.9999997317791%,2639
077,Marquette,261,26.3636363636364%,2,0.766283524904214%,8664,2361,7.99999982118607%,990
078,Menominee,208,35.7388316151203%,1,0.480769230769231%,2098,172,37.0000004768372%,582
079,Milwaukee,33432,38.1608985480778%,492,1.47164393395549%,400093,163688,25.9999990463257%,87608
081,Monroe,988,25.4967741935484%,4,0.404858299595142%,16672,5673,20.9999993443489%,3875
083,Oconto,356,14.6261298274445%,,0%,19812,5701,10.0000001490116%,2434
085,Oneida,420,21.4833759590793%,1,0.238095238095238%,26627,5953,10.9999999403954%,1955
087,Outagamie,2125,14.8726203807391%,4,0.188235294117647%,62614,16579,5.99999986588955%,14288
089,Ozaukee,614,10.907798898561%,1,0.162866449511401%,32034,5891,1.99999995529652%,5629
091,Pepin,134,25.0936329588015%,,0%,3036,1340,17.0000001788139%,534
093,Pierce,581,21.5744522836985%,2,0.344234079173838%,13493,4269,5.99999986588955%,2693
095,Polk,646,20.0745804847732%,,0%,21129,5726,9.00000035762787%,3218
097,Portage,1621,35.4007425202009%,1,0.0616903146206046%,26589,6705,10.0000001490116%,4579
099,Price,198,25.1588310038119%,,0%,9574,3399,15.9999996423721%,787
101,Racine,5115,31.8354390987739%,41,0.801564027370479%,74718,24355,12.9999995231628%,16067
103,Richland,276,20.5204460966543%,1,0.36231884057971%,8164,3724,18.9999997615814%,1345
105,Rock,2461,19.2175542714353%,27,1.09711499390492%,62187,20779,10.9999999403954%,12806
107,Rusk,229,23.439099283521%,,0%,7609,2805,15.0000005960464%,977
109,St. Croix,887,12.0434487440597%,1,0.112739571589628%,24265,5534,3.99999991059303%,7365
111,Sauk,890,18.8679245283019%,,0%,24297,8084,10.9999999403954%,4717
113,Sawyer,356,30.795847750865%,1,0.280898876404494%,13722,2881,15.9999996423721%,1156
115,Shawano,575,19.3472409152086%,2,0.347826086956522%,18317,6835,12.9999995231628%,2972
117,Sheboygan,1972,22.65625%,16,0.811359026369168%,45947,19006,7.99999982118607%,8704
119,Taylor,237,16.1224489795918%,,0%,8595,3214,15.0000005960464%,1470
121,Trempealeau,686,31.4534617148097%,4,0.583090379008746%,11482,4609,10.9999999403954%,2181
123,Vernon,590,22.4676313785225%,2,0.338983050847458%,12416,5273,25%,2626
125,Vilas,355,32.1557971014493%,,0%,22397,4390,14.0000000596046%,1104
127,Walworth,1227,16.6080129940444%,2,0.162999185004075%,43783,13306,10.0000001490116%,7388
129,Washburn,318,28.6486486486486%,1,0.314465408805031%,10814,2942,15.9999996423721%,1110
131,Washington,1125,11.6786047960137%,,0%,45808,8944,5.00000007450581%,9633
133,Waukesha,4497,16.8540589161232%,8,0.177896375361352%,140309,20094,2.99999993294477%,26682
135,Waupaca,579,16.8265039232781%,1,0.172711571675302%,22508,8555,10.0000001490116%,3441
137,Waushara,359,24.2895805142084%,2,0.557103064066852%,13667,3840,12.9999995231628%,1478
139,Winnebago,1629,14.1652173913043%,14,0.859422958870473%,64721,20011,9.00000035762787%,11500
141,Wood,1352,25.2380063468359%,6,0.443786982248521%,31691,9251,10.0000001490116%,5357
,,,,,,,,,
"* Based on most recent five years of data, 2005-2009",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
,,,,,,,,,
,Wisconsin 2009 Confirmed Cases,,755,,,,,,
