"CBLS County-level Summary Data for WV, 2014",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Total Confirmed BLL ?10 µg/dL,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
,,,,Total #,Total %,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty
001,Barbour County,6,.,0,0%,0,7348,2391,36.0000014305115%
003,Berkeley County,26,.,0,0%,1,32913,6090,18.9999997615814%
005,Boone County,n,n,n,n,n,11575,2760,31.0000002384186%
007,Braxton County,14,.,1,7.10000023245811%,1,7374,1767,23.9999994635582%
009,Brooke County,7,1,0,0%,0,11150,4022,20.0000002980232%
011,Cabell County,208,9,2,0.999999977648258%,1,45615,15262,28.0000001192093%
013,Calhoun County,n,n,n,n,n,3848,1193,30.0000011920929%
015,Clay County,6,.,0,0%,0,4836,863,37.9999995231628%
017,Doddridge Count,n,n,n,n,n,3661,1305,27.0000010728836%
019,Fayette County,47,1,0,0%,0,21616,8200,34.0000003576279%
023,Grant County,9,.,0,0%,0,6105,1044,20.0000002980232%
025,Greenbrier Coun,7,.,0,0%,0,17644,4893,31.0000002384186%
027,Hampshire Count,8,1,0,0%,1,11185,1892,18.0000007152557%
029,Hancock County,14,1,0,0%,1,14728,4925,18.0000007152557%
031,Hardy County,5,.,0,0%,0,7115,1481,10.9999999403954%
033,Harrison County,16,1,0,0%,2,31112,12487,25.9999990463257%
035,Jackson County,10,1,0,0%,0,12245,1863,23.0000004172325%
037,Jefferson Count,18,.,0,0%,0,17623,3440,12.9999995231628%
039,Kanawha County,42,.,0,0%,0,93788,28254,23.9999994635582%
041,Lewis County,n,n,n,n,n,7944,2954,30.0000011920929%
043,Lincoln County,18,.,0,0%,0,9846,1613,43.0000007152557%
045,Logan County,5,.,0,0%,0,16807,4326,34.9999994039536%
047,McDowell County,14,2,0,0%,1,13582,6267,57.9999983310699%
049,Marion County,40,2,0,0%,0,26660,11346,23.0000004172325%
051,Marshall County,41,.,0,0%,0,15814,6425,28.0000001192093%
053,Mason County,28,1,0,0%,0,12056,2789,23.9999994635582%
055,Mercer County,67,3,0,0%,2,30143,8859,30.0000011920929%
057,Mineral County,61,5,0,0%,1,12094,3552,20.0000002980232%
059,Mingo County,14,.,0,0%,0,12898,2472,44.9999988079071%
061,Monongalia Coun,22,.,0,0%,0,36695,9253,23.0000004172325%
063,Monroe County,n,n,n,n,n,7267,1857,25%
065,Morgan County,6,.,0,0%,0,8076,1545,12.9999995231628%
067,Nicholas County,14,1,0,0%,0,12406,2502,27.0000010728836%
069,Ohio County,33,.,2,6.10000006854534%,1,22166,11634,23.9999994635582%
071,Pendleton Count,n,n,n,n,n,5102,1477,20.0000002980232%
073,Pleasants Count,n,n,n,n,n,3214,831,25.9999990463257%
075,Pocahontas Coun,n,n,n,n,n,7594,1714,18.9999997615814%
077,Preston County,25,2,1,3.99999991059303%,1,13444,3939,28.999999165535%
079,Putnam County,34,.,0,0%,0,21621,2547,12.9999995231628%
081,Raleigh County,81,.,0,0%,0,35678,9198,31.0000002384186%
083,Randolph County,10,1,0,0%,0,13478,3831,23.9999994635582%
085,Ritchie County,n,n,n,n,n,5513,2097,23.0000004172325%
087,Roane County,6,.,0,0%,0,7360,2255,37.0000004768372%
089,Summers County,15,3,0,0%,0,7331,2280,33.0000013113022%
091,Taylor County,19,2,0,0%,0,7125,2499,25%
093,Tucker County,5,1,0,0%,0,4634,1294,23.9999994635582%
095,Tyler County,5,1,1,20.0000002980232%,0,4780,1843,23.0000004172325%
097,Upshur County,10,2,0,0%,0,10751,2814,34.0000003576279%
099,Wayne County,53,5,0,0%,0,19107,3985,23.0000004172325%
103,Wetzel County,7,.,0,0%,1,8313,2694,27.0000010728836%
105,Wirt County,n,n,n,n,n,3266,778,30.0000011920929%
107,Wood County,20,3,0,0%,1,39785,10913,25.9999990463257%
109,Wyoming County,10,.,0,0%,0,11698,2914,38.9999985694885%
*# of Addresses where address state not in selected state: 0,# of Addresses where program state is not in selected state: 1,,,,,,,,
*# of Addresses where address state not in selected state: 0,# of Addresses where program state is not in selected state: 3,,,,,,,,
*# of Addresses where address state not in selected state: 0,# of Addresses where program state is not in selected state: 3,,,,,,,,
*# of Addresses where address state not in selected state: 0,# of Addresses where program state is not in selected state: 8,,,,,,,,
,,,,,,,,,
"* Based on most recent five years of data, 2010-2014",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
