"CBLS County-level Summary Data for WV, 2005",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2005"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Barbour County,149,14.7087857847976%,0,0,7348,2391,36.0000014305115%,1013
003,Berkeley County,443,7.24211214647703%,6,1,32913,6090,18.9999997615814%,6117
005,Boone County,241,12.9849137931034%,1,0,11575,2760,31.0000002384186%,1856
007,Braxton County,155,16.7025862068966%,2,0,7374,1767,23.9999994635582%,928
009,Brooke County,56,3.64109232769831%,2,1,11150,4022,20.0000002980232%,1538
011,Cabell County,676,10.4064039408867%,2,0,45615,15262,28.0000001192093%,6496
013,Calhoun County,26,5.65217391304348%,1,0,3848,1193,30.0000011920929%,460
015,Clay County,185,24.0572171651495%,1,0,4836,863,37.9999995231628%,769
017,Doddridge County,41,8.03921568627451%,1,1,3661,1305,27.0000010728836%,510
019,Fayette County,554,17.6320814767664%,1,0,21616,8200,34.0000003576279%,3142
021,Gilmer County,37,8.44748858447489%,0,0,3621,1102,21.9999998807907%,438
023,Grant County,157,17.2717271727173%,0,0,6105,1044,20.0000002980232%,909
025,Greenbrier County,424,18.694885361552%,2,0,17644,4893,31.0000002384186%,2268
027,Hampshire County,203,13.4081902245707%,1,0,11185,1892,18.0000007152557%,1514
029,Hancock County,209,10.0143747005271%,3,0,14728,4925,18.0000007152557%,2087
031,Hardy County,187,19.9148029818956%,0,0,7115,1481,10.9999999403954%,939
033,Harrison County,548,11.5344138076194%,1,1,31112,12487,25.9999990463257%,4751
035,Jackson County,261,13.2420091324201%,1,0,12245,1863,23.0000004172325%,1971
037,Jefferson County,136,4.36877610022486%,1,0,17623,3440,12.9999995231628%,3113
039,Kanawha County,1949,14.4071555292726%,6,1,93788,28254,23.9999994635582%,13528
041,Lewis County,325,28.4837861524978%,6,3,7944,2954,30.0000011920929%,1141
043,Lincoln County,185,11.5625%,0,0,9846,1613,43.0000007152557%,1600
045,Logan County,366,13.969465648855%,2,0,16807,4326,34.9999994039536%,2620
047,McDowell County,189,10.6538895152198%,1,1,13582,6267,57.9999983310699%,1774
049,Marion County,189,5.60830860534125%,4,3,26660,11346,23.0000004172325%,3370
051,Marshall County,6,0.255645504899872%,1,0,15814,6425,28.0000001192093%,2347
053,Mason County,201,10.8884073672806%,0,0,12056,2789,23.9999994635582%,1846
055,Mercer County,496,11.1938614308283%,2,1,30143,8859,30.0000011920929%,4431
057,Mineral County,240,13.4831460674157%,4,0,12094,3552,20.0000002980232%,1780
059,Mingo County,159,7.92227204783259%,1,0,12898,2472,44.9999988079071%,2007
061,Monongalia County,276,5.60406091370558%,1,2,36695,9253,23.0000004172325%,4925
063,Monroe County,89,10.0338218714769%,0,0,7267,1857,25%,887
065,Morgan County,107,9.87084870848708%,0,0,8076,1545,12.9999995231628%,1084
067,Nicholas County,439,26.8009768009768%,4,0,12406,2502,27.0000010728836%,1638
069,Ohio County,10,0.327439423706614%,3,1,22166,11634,23.9999994635582%,3054
071,Pendleton County,96,17.9439252336449%,2,0,5102,1477,20.0000002980232%,535
073,Pleasants County,34,6.55105973025048%,0,1,3214,831,25.9999990463257%,519
075,Pocahontas County,61,10.8928571428571%,2,0,7594,1714,18.9999997615814%,560
077,Preston County,126,6.35721493440969%,4,1,13444,3939,28.999999165535%,1982
079,Putnam County,351,8.69888475836431%,1,0,21621,2547,12.9999995231628%,4035
081,Raleigh County,636,12.2166730695352%,1,0,35678,9198,31.0000002384186%,5206
083,Randolph County,200,11.2296462661426%,1,2,13478,3831,23.9999994635582%,1781
085,Ritchie County,63,9.1703056768559%,3,0,5513,2097,23.0000004172325%,687
087,Roane County,66,6.35226179018287%,0,0,7360,2255,37.0000004768372%,1039
089,Summers County,66,8.82352941176471%,1,0,7331,2280,33.0000013113022%,748
091,Taylor County,88,8.07339449541285%,1,2,7125,2499,25%,1090
093,Tucker County,46,11.138014527845%,0,0,4634,1294,23.9999994635582%,413
095,Tyler County,48,7.63116057233704%,0,1,4780,1843,23.0000004172325%,629
097,Upshur County,47,3.05194805194805%,0,1,10751,2814,34.0000003576279%,1540
099,Wayne County,227,7.58436351486803%,0,0,19107,3985,23.0000004172325%,2993
101,Webster County,82,12.4242424242424%,0,0,5273,1355,43.0000007152557%,660
103,Wetzel County,127,10.4699093157461%,3,3,8313,2694,27.0000010728836%,1213
105,Wirt County,36,9.91735537190083%,0,0,3266,778,30.0000011920929%,363
107,Wood County,344,5.48381954407779%,3,2,39785,10913,25.9999990463257%,6273
109,Wyoming County,128,7.28100113765643%,0,0,11698,2914,38.9999985694885%,1758
"* Based on most recent five years of data, 2001-2005",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
West Virginia Total Confirmed Cases 2005,,118,,,,,,,
