"CBLS County-level Summary Data for WV, 2006",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,Case Rate (# Confirmed / #Tested),# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2006"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Barbour County,77,7.59999975562096%,3,3.8961038961039%,1,7348,2391,36.0000014305115%,1009
003,Berkeley County,588,7.50000029802322%,2,0.340136054421769%,1,32913,6090,18.9999997615814%,7797
005,Boone County,191,9.89999994635582%,0,0%,0,11575,2760,31.0000002384186%,1926
007,Braxton County,102,11.4000000059605%,1,0.980392156862745%,0,7374,1767,23.9999994635582%,896
009,Brooke County,61,4.39999997615814%,0,0%,1,11150,4022,20.0000002980232%,1395
011,Cabell County,546,8.10000002384186%,2,0.366300366300366%,0,45615,15262,28.0000001192093%,6752
013,Calhoun County,35,8.50000008940697%,0,0%,0,3848,1193,30.0000011920929%,410
015,Clay County,134,16.5999993681908%,0,0%,0,4836,863,37.9999995231628%,805
017,Doddridge County,24,5.20000010728836%,0,0%,1,3661,1305,27.0000010728836%,465
019,Fayette County,337,10.1999998092651%,2,0.593471810089021%,0,21616,8200,34.0000003576279%,3320
021,Gilmer County,35,9.0999998152256%,0,0%,0,3621,1102,21.9999998807907%,385
023,Grant County,100,12.6000002026558%,0,0%,0,6105,1044,20.0000002980232%,793
025,Greenbrier County,228,10.0000001490116%,2,0.87719298245614%,0,17644,4893,31.0000002384186%,2290
027,Hampshire County,155,10.5999998748302%,2,1.29032258064516%,0,11185,1892,18.0000007152557%,1469
029,Hancock County,145,7.00000002980232%,2,1.37931034482759%,0,14728,4925,18.0000007152557%,2069
031,Hardy County,149,16.5999993681908%,0,0%,0,7115,1481,10.9999999403954%,895
033,Harrison County,342,6.89999982714653%,3,0.87719298245614%,1,31112,12487,25.9999990463257%,4944
035,Jackson County,212,11.1000001430511%,0,0%,0,12245,1863,23.0000004172325%,1912
037,Jefferson County,155,3.90000008046627%,1,0.645161290322581%,0,17623,3440,12.9999995231628%,3990
039,Kanawha County,1413,10.0000001490116%,2,0.141542816702052%,0,93788,28254,23.9999994635582%,14182
041,Lewis County,202,18.4000000357628%,3,1.48514851485149%,3,7944,2954,30.0000011920929%,1100
043,Lincoln County,132,7.80000016093254%,0,0%,0,9846,1613,43.0000007152557%,1700
045,Logan County,192,7.40000009536743%,1,0.520833333333333%,0,16807,4326,34.9999994039536%,2605
047,McDowell County,113,6.59999996423721%,1,0.884955752212389%,1,13582,6267,57.9999983310699%,1702
049,Marion County,311,8.39999988675118%,9,2.89389067524116%,4,26660,11346,23.0000004172325%,3712
051,Marshall County,164,7.69999995827675%,5,3.04878048780488%,0,15814,6425,28.0000001192093%,2117
053,Mason County,124,7.10000023245811%,0,0%,0,12056,2789,23.9999994635582%,1745
055,Mercer County,304,7.00000002980232%,4,1.31578947368421%,1,30143,8859,30.0000011920929%,4330
057,Mineral County,206,10.9999999403954%,1,0.485436893203883%,0,12094,3552,20.0000002980232%,1867
059,Mingo County,102,4.69999983906746%,0,0%,0,12898,2472,44.9999988079071%,2182
061,Monongalia County,229,4.30000014603138%,2,0.873362445414847%,1,36695,9253,23.0000004172325%,5332
063,Monroe County,64,8.20000022649765%,0,0%,0,7267,1857,25%,784
065,Morgan County,97,9.39999967813492%,1,1.03092783505155%,0,8076,1545,12.9999995231628%,1028
067,Nicholas County,250,15.0999993085861%,3,1.2%,0,12406,2502,27.0000010728836%,1653
069,Ohio County,227,8.10000002384186%,5,2.20264317180617%,1,22166,11634,23.9999994635582%,2797
071,Pendleton County,78,16.0999998450279%,1,1.28205128205128%,0,5102,1477,20.0000002980232%,483
073,Pleasants County,25,5.79999983310699%,1,4%,1,3214,831,25.9999990463257%,432
075,Pocahontas County,37,7.10000023245811%,1,2.7027027027027%,0,7594,1714,18.9999997615814%,524
077,Preston County,135,6.89999982714653%,1,0.740740740740741%,1,13444,3939,28.999999165535%,1954
079,Putnam County,229,5.70000000298023%,0,0%,0,21621,2547,12.9999995231628%,3993
081,Raleigh County,461,8.69999974966049%,1,0.216919739696312%,0,35678,9198,31.0000002384186%,5296
083,Randolph County,146,7.80000016093254%,2,1.36986301369863%,2,13478,3831,23.9999994635582%,1876
085,Ritchie County,50,6.70000016689301%,0,0%,0,5513,2097,23.0000004172325%,750
087,Roane County,52,4.80000004172325%,0,0%,0,7360,2255,37.0000004768372%,1093
089,Summers County,44,6.49999976158142%,2,4.54545454545455%,0,7331,2280,33.0000013113022%,676
091,Taylor County,62,6.49999976158142%,3,4.83870967741936%,1,7125,2499,25%,954
093,Tucker County,36,9.39999967813492%,0,0%,0,4634,1294,23.9999994635582%,382
095,Tyler County,44,8.20000022649765%,0,0%,0,4780,1843,23.0000004172325%,536
097,Upshur County,56,3.4000001847744%,1,1.78571428571429%,1,10751,2814,34.0000003576279%,1667
099,Wayne County,174,6.1999998986721%,0,0%,0,19107,3985,23.0000004172325%,2817
101,Webster County,45,7.90000036358833%,0,0%,0,5273,1355,43.0000007152557%,567
103,Wetzel County,139,12.3000003397465%,5,3.59712230215827%,1,8313,2694,27.0000010728836%,1128
105,Wirt County,15,3.99999991059303%,0,0%,0,3266,778,30.0000011920929%,372
107,Wood County,197,3.29999998211861%,6,3.04568527918782%,2,39785,10913,25.9999990463257%,6042
