"CBLS County-level Summary Data for WV, 2007",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2007"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Barbour County,123,11.9999997317791%,5,4.0650406504065%,1,7348,2391,36.0000014305115%,1027
003,Berkeley County,445,5.20000010728836%,0,0%,1,32913,6090,18.9999997615814%,8581
005,Boone County,189,10.0000001490116%,1,0.529100529100529%,0,11575,2760,31.0000002384186%,1895
007,Braxton County,100,11.1000001430511%,0,0%,0,7374,1767,23.9999994635582%,902
009,Brooke County,66,5.00000007450581%,0,0%,1,11150,4022,20.0000002980232%,1308
011,Cabell County,622,9.0999998152256%,5,0.803858520900321%,0,45615,15262,28.0000001192093%,6844
013,Calhoun County,45,10.0000001490116%,0,0%,0,3848,1193,30.0000011920929%,448
015,Clay County,149,19.200000166893%,0,0%,0,4836,863,37.9999995231628%,775
017,Doddridge County,34,8.20000022649765%,1,2.94117647058823%,1,3661,1305,27.0000010728836%,416
019,Fayette County,457,13.6999994516373%,2,0.437636761487965%,0,21616,8200,34.0000003576279%,3345
021,Gilmer County,59,15.2999997138977%,0,0%,0,3621,1102,21.9999998807907%,385
023,Grant County,80,10.1999998092651%,0,0%,0,6105,1044,20.0000002980232%,785
025,Greenbrier County,373,16.3000002503395%,3,0.804289544235925%,0,17644,4893,31.0000002384186%,2290
027,Hampshire County,138,8.90000015497208%,0,0%,0,11185,1892,18.0000007152557%,1557
029,Hancock County,107,5.49999997019768%,0,0%,0,14728,4925,18.0000007152557%,1942
031,Hardy County,134,14.1000002622604%,0,0%,0,7115,1481,10.9999999403954%,950
033,Harrison County,513,10.4000002145767%,3,0.584795321637427%,2,31112,12487,25.9999990463257%,4928
035,Jackson County,187,9.7000002861023%,2,1.06951871657754%,0,12245,1863,23.0000004172325%,1928
037,Jefferson County,156,3.79999987781048%,1,0.641025641025641%,0,17623,3440,12.9999995231628%,4150
039,Kanawha County,1768,12.6000002026558%,8,0.452488687782805%,1,93788,28254,23.9999994635582%,13992
041,Lewis County,234,20.4999998211861%,7,2.99145299145299%,3,7944,2954,30.0000011920929%,1142
043,Lincoln County,175,10.4999996721745%,0,0%,0,9846,1613,43.0000007152557%,1674
045,Logan County,260,10.3000000119209%,1,0.384615384615385%,0,16807,4326,34.9999994039536%,2536
047,McDowell County,181,11.2000003457069%,0,0%,0,13582,6267,57.9999983310699%,1614
049,Marion County,430,11.4000000059605%,3,0.697674418604651%,1,26660,11346,23.0000004172325%,3767
051,Marshall County,207,10.5999998748302%,3,1.44927536231884%,0,15814,6425,28.0000001192093%,1948
053,Mason County,163,9.30000022053719%,0,0%,0,12056,2789,23.9999994635582%,1744
055,Mercer County,555,12.8000006079674%,5,0.900900900900901%,1,30143,8859,30.0000011920929%,4332
057,Mineral County,167,9.20000001788139%,7,4.19161676646707%,1,12094,3552,20.0000002980232%,1806
059,Mingo County,139,6.59999996423721%,0,0%,0,12898,2472,44.9999988079071%,2107
