"CBLS County-level Summary Data for WV, 2009",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,Census 2000 Data,,,"Estimated Population of Children < 6, 2009"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Barbour,151,13.9170506912442%,1,0.662251655629139%,7348,2391,36.0000014305115%,1085
003,Berkeley,265,3.05194057353449%,1,0.377358490566038%,32913,6090,18.9999997615814%,8683
005,Boone,177,9.53663793103448%,2,1.12994350282486%,11575,2760,31.0000002384186%,1856
007,Braxton,143,15.6626506024096%,,0%,7374,1767,23.9999994635582%,913
009,Brooke,41,2.96242774566474%,,0%,11150,4022,20.0000002980232%,1384
011,Cabell,664,9.67365967365967%,2,0.301204819277108%,45615,15262,28.0000001192093%,6864
013,Calhoun,60,12.7659574468085%,,0%,3848,1193,30.0000011920929%,470
015,Clay,139,17.5283732660782%,,0%,4836,863,37.9999995231628%,793
017,Doddridge,23,5.60975609756098%,1,4.34782608695652%,3661,1305,27.0000010728836%,410
019,Fayette,448,13.0194710839872%,3,0.669642857142857%,21616,8200,34.0000003576279%,3441
021,Gilmer,93,22.962962962963%,,0%,3621,1102,21.9999998807907%,405
023,Grant,75,10.2179836512262%,,0%,6105,1044,20.0000002980232%,734
025,Greenbrier,441,18.8300597779676%,5,1.13378684807256%,17644,4893,31.0000002384186%,2342
027,Hampshire,118,7.69732550554468%,,0%,11185,1892,18.0000007152557%,1533
029,Hancock,77,3.99584846912299%,2,2.5974025974026%,14728,4925,18.0000007152557%,1927
031,Hardy,91,9.45945945945946%,,0%,7115,1481,10.9999999403954%,962
033,Harrison,508,9.98231479662016%,1,0.196850393700787%,31112,12487,25.9999990463257%,5089
035,Jackson,229,11.8652849740933%,,0%,12245,1863,23.0000004172325%,1930
037,Jefferson,105,2.49643366619116%,1,0.952380952380952%,17623,3440,12.9999995231628%,4206
039,Kanawha,1467,10.5387931034483%,5,0.340831629175187%,93788,28254,23.9999994635582%,13920
041,Lewis,167,13.6104319478403%,2,1.19760479041916%,7944,2954,30.0000011920929%,1227
043,Lincoln,209,12.5525525525526%,,0%,9846,1613,43.0000007152557%,1665
045,Logan,259,10.1132370167903%,,0%,16807,4326,34.9999994039536%,2561
047,McDowell,130,7.97057020232986%,,0%,13582,6267,57.9999983310699%,1631
049,Marion,374,9.84728804634018%,2,0.53475935828877%,26660,11346,23.0000004172325%,3798
051,Marshall,196,10.0204498977505%,3,1.53061224489796%,15814,6425,28.0000001192093%,1956
053,Mason,145,7.9062159214831%,2,1.37931034482759%,12056,2789,23.9999994635582%,1834
055,Mercer,494,11.2247216541695%,3,0.607287449392712%,30143,8859,30.0000011920929%,4401
057,Mineral,292,15.4907161803714%,,0%,12094,3552,20.0000002980232%,1885
059,Mingo,102,4.71567267683773%,,0%,12898,2472,44.9999988079071%,2163
061,Monongalia,514,9.58061509785648%,4,0.778210116731518%,36695,9253,23.0000004172325%,5365
063,Monroe,97,11.7291414752116%,,0%,7267,1857,25%,827
065,Morgan,92,9.3973442288049%,,0%,8076,1545,12.9999995231628%,979
067,Nicholas,297,16.3907284768212%,,0%,12406,2502,27.0000010728836%,1812
069,Ohio,264,9.09404064760592%,2,0.757575757575758%,22166,11634,23.9999994635582%,2903
071,Pendleton,50,11.7370892018779%,,0%,5102,1477,20.0000002980232%,426
073,Pleasants,34,8.33333333333333%,2,5.88235294117647%,3214,831,25.9999990463257%,408
075,Pocahontas,71,14.3434343434343%,1,1.40845070422535%,7594,1714,18.9999997615814%,495
077,Preston,262,13.3878385283597%,3,1.14503816793893%,13444,3939,28.999999165535%,1957
079,Putnam,261,6.40962671905697%,,0%,21621,2547,12.9999995231628%,4072
081,Raleigh,759,13.6143497757848%,1,0.131752305665349%,35678,9198,31.0000002384186%,5575
083,Randolph,267,13.9425587467363%,1,0.374531835205993%,13478,3831,23.9999994635582%,1915
085,Ritchie,59,8.41654778887304%,,0%,5513,2097,23.0000004172325%,701
087,Roane,94,9.3812375249501%,2,2.12765957446808%,7360,2255,37.0000004768372%,1002
089,Summers,105,15.5096011816839%,,0%,7331,2280,33.0000013113022%,677
091,Taylor,108,11.0542476970317%,2,1.85185185185185%,7125,2499,25%,977
093,Tucker,55,14.4356955380577%,,0%,4634,1294,23.9999994635582%,381
095,Tyler,43,7.91896869244936%,,0%,4780,1843,23.0000004172325%,543
097,Upshur,91,5.32163742690059%,1,1.0989010989011%,10751,2814,34.0000003576279%,1710
099,Wayne,229,8.43151693667158%,1,0.436681222707424%,19107,3985,23.0000004172325%,2716
101,Webster,177,28.59450726979%,,0%,5273,1355,43.0000007152557%,619
103,Wetzel,108,9.51541850220264%,1,0.925925925925926%,8313,2694,27.0000010728836%,1135
105,Wirt,31,9.39393939393939%,,0%,3266,778,30.0000011920929%,330
107,Wood,365,5.99244787391233%,6,1.64383561643836%,39785,10913,25.9999990463257%,6091
109,Wyoming,165,10.4166666666667%,1,0.606060606060606%,11698,2914,38.9999985694885%,1584
,,,,,,,,,
,,,,,,,,,
"* Based on most recent five years of data, 2005-2009",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
,,,,,,,,,
,West Virgina 2009 Confirmed Cases,,64,,,,,,
