FIPS,county,totaltested,totalpos,percent
28001,Adams County,3477,23,0.6614897900488927
28003,Alcorn County,2355,43,1.8259023354564756
28005,Amite County,1159,26,2.2433132010353756
28007,Attala County,2777,52,1.8725243068059056
28009,Benton County,804,15,1.8656716417910446
28011,Bolivar County,6246,100,1.6010246557796992
28013,Calhoun County,1539,59,3.833658219623132
28015,Carroll County,1042,17,1.6314779270633395
28017,Chickasaw County,2387,43,1.8014243820695435
28019,Choctaw County,731,15,2.0519835841313268
28021,Claiborne County,1313,37,2.817974105102818
28023,Clarke County,1627,39,2.3970497848801475
28025,Clay County,1950,24,1.2307692307692308
28027,Coahoma County,6836,187,2.735517846693973
28029,Copiah County,2914,80,2.7453671928620453
28031,Covington County,1746,147,8.419243986254296
28033,De Soto County,8418,101,1.1998099311000239
28035,Forrest County,9064,1257,13.868049426301853
28037,Franklin County,946,21,2.2198731501057085
28039,George County,2762,39,1.4120202751629254
28041,Greene County,765,59,7.712418300653595
28043,Grenada County,3154,70,2.219403931515536
28045,Hancock County,1385,20,1.444043321299639
28047,Harrison County,11147,206,1.8480308603211628
28049,Hinds County,30580,411,1.344015696533682
28051,Holmes County,4358,99,2.271684258834328
28053,Humphreys County,2719,98,3.604266274365576
28055,Issaquena County,117,9,7.6923076923076925
28057,Itawamba County,1381,15,1.0861694424330195
28059,Jackson County,8714,139,1.595134266697269
28061,Jasper County,2548,80,3.139717425431711
28063,Jefferson County,1530,43,2.8104575163398695
28065,Jefferson Davis County,1120,123,10.982142857142858
28067,Jones County,8739,455,5.20654537132395
28069,Kemper County,1063,25,2.351834430856068
28071,Lafayette County,2297,26,1.1319111885067479
28073,Lamar County,2735,504,18.427787934186473
28075,Lauderdale County,7084,241,3.402032749858837
28077,Lawrence County,1137,40,3.518029903254178
28079,Leake County,2917,58,1.988344189235516
28081,Lee County,5452,37,0.6786500366837858
28083,Leflore County,7313,245,3.350198277040886
28085,Lincoln County,2469,62,2.5111381125961927
28087,Lowndes County,4287,72,1.6794961511546536
28089,Madison County,7894,86,1.0894350139346338
28091,Marion County,2072,223,10.762548262548261
28093,Marshall County,4513,67,1.4846000443164193
28095,Monroe County,3756,52,1.384451544195953
28097,Montgomery County,1737,29,1.6695451928612552
28099,Neshoba County,2878,58,2.0152883947185547
28101,Newton County,2697,51,1.8909899888765296
28103,Noxubee County,1897,27,1.4232999472851873
28105,Oktibbeha County,3064,33,1.077023498694517
28107,Panola County,5276,75,1.4215314632297196
28109,Pearl River County,2356,164,6.960950764006792
28111,Perry County,953,139,14.58551941238195
28113,Pike County,3100,101,3.258064516129032
28115,Pontotoc County,1982,21,1.0595358224016145
28117,Prentiss County,1256,18,1.4331210191082804
28119,Quitman County,1473,35,2.3761031907671417
28121,Rankin County,7066,82,1.1604868383809794
28123,Scott County,3535,65,1.8387553041018387
28125,Sharkey County,900,41,4.555555555555555
28127,Simpson County,2340,62,2.6495726495726495
28129,Smith County,1444,52,3.6011080332409975
28131,Stone County,1170,153,13.076923076923078
28133,Sunflower County,5171,107,2.0692322568168633
28135,Tallahatchie County,2643,53,2.00529701097238
28137,Tate County,2110,30,1.4218009478672986
28139,Tippah County,1877,23,1.2253596164091636
28141,Tishomingo County,963,19,1.9730010384215992
28143,Tunica County,2186,36,1.646843549862763
28145,Union County,1532,20,1.3054830287206265
28147,Walthall County,914,28,3.063457330415755
28149,Warren County,4609,100,2.169668040789759
28151,Washington County,9277,205,2.2097660881750567
28153,Wayne County,2451,80,3.2639738882088944
28155,Webster County,1116,20,1.7921146953405016
28157,Wilkinson County,1474,25,1.6960651289009496
28159,Winston County,1816,32,1.762114537444934
28161,Yalobusha County,1672,33,1.9736842105263157
28163,Yazoo County,3968,144,3.6290322580645165
1001,Autauga County,59,1,1.694915254237288
1003,Baldwin County,591,11,1.8612521150592216
1005,Barbour County,38,1,2.631578947368421
1007,Bibb County,82,0,0.0
1009,Blount County,537,7,1.303538175046555
1011,Bullock County,255,9,3.5294117647058822
1013,Butler County,216,6,2.7777777777777777
1015,Calhoun County,709,31,4.372355430183357
1017,Chambers County,205,4,1.951219512195122
1019,Cherokee County,145,5,3.4482758620689653
1021,Chilton County,379,9,2.3746701846965697
1023,Choctaw County,51,1,1.9607843137254901
1025,Clarke County,449,11,2.4498886414253898
1027,Clay County,127,3,2.3622047244094486
1029,Cleburne County,101,1,0.9900990099009901
1031,Coffee County,3084,55,1.7833981841763942
1033,Colbert County,710,17,2.3943661971830985
1035,Conecuh County,174,2,1.1494252873563218
1039,Covington Count,610,20,3.278688524590164
1041,Crenshaw County,107,5,4.672897196261682
1043,Cullman County,759,12,1.5810276679841897
1045,Dale County,108,9,8.333333333333332
1047,Dallas County,120,15,12.5
1049,DeKalb County,427,7,1.639344262295082
1051,Elmore County,254,7,2.7559055118110236
1053,Escambia County,700,6,0.8571428571428572
1055,Etowah County,442,12,2.7149321266968327
1057,Fayette County,89,5,5.617977528089887
1059,Franklin County,433,28,6.466512702078522
1061,Geneva County,75,7,9.333333333333334
1063,Greene County,134,1,0.7462686567164178
1065,Hale County,138,7,5.072463768115942
1069,Houston County,22,17,77.27272727272727
1071,Jackson County,259,1,0.3861003861003861
1073,Jefferson Count,10396,253,2.433628318584071
1075,Lamar County,70,4,5.714285714285714
1077,Lauderdale Coun,887,17,1.9165727170236753
1079,Lawrence County,244,5,2.0491803278688523
1081,Lee County,720,21,2.9166666666666665
1083,Limestone Count,422,6,1.4218009478672986
1085,Lowndes County,143,3,2.097902097902098
1087,Macon County,214,2,0.9345794392523363
1089,Madison County,1181,14,1.1854360711261642
1091,Marengo County,221,2,0.904977375565611
1093,Marion County,256,10,3.90625
1095,Marshall County,394,8,2.030456852791878
1097,Mobile County,4651,155,3.3326166415824554
1099,Monroe County,66,1,1.5151515151515151
1101,Montgomery Coun,21721,192,0.8839372036278257
1103,Morgan County,1475,15,1.0169491525423728
1105,Perry County,69,1,1.4492753623188406
1107,Pickens County,166,5,3.0120481927710845
1109,Pike County,523,45,8.604206500956023
1111,Randolph County,85,1,1.1764705882352942
1113,Russell County,238,5,2.100840336134454
1115,St. Clair Count,466,5,1.0729613733905579
1117,Shelby County,1148,19,1.6550522648083623
1119,Sumter County,168,7,4.166666666666666
1121,Talladega Count,467,17,3.640256959314775
1123,Tallapoosa Coun,200,17,8.5
1125,Tuscaloosa Coun,1078,14,1.2987012987012987
1127,Walker County,152,5,3.289473684210526
1129,Washington Coun,154,4,2.5974025974025974
1131,Wilcox County,199,2,1.0050251256281406
1133,Winston County,155,3,1.935483870967742
1037,Coosa County,7,0,0.0
37001,Alamance County,8848,22,0.24864376130198915
37003,Alexander County,2091,3,0.1434720229555237
37005,Alleghany County,634,1,0.15772870662460567
37007,Anson County,1927,8,0.4151530877010898
37009,Ashe County,1637,2,0.12217470983506415
37011,Avery County,993,4,0.4028197381671702
37013,Beaufort County,4310,8,0.18561484918793503
